GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyecto_1,com.bettercodesaul.util,Printer,129,0,12,0,32,0,17,0,11,0
proyecto_1,com.bettercodesaul.util,Constantes,58,0,4,0,7,0,8,0,6,0
proyecto_1,com.bettercodesaul.util,ReadFile,36,0,2,0,8,0,3,0,2,0
proyecto_1,com.bettercodesaul.util,WriteFile,30,0,0,0,11,0,2,0,2,0
proyecto_1,com.bettercodesaul.util,GeneradorOfertas,119,0,0,0,34,0,4,0,4,0
proyecto_1,com.bettercodesaul.util,PropertiesFactory,57,0,0,0,19,0,5,0,5,0
proyecto_1,com.bettercodesaul,Main,469,0,40,0,134,0,30,0,8,0
proyecto_1,com.bettercodesaul.repositorio,RepositorioProducto,389,0,10,0,62,0,18,0,13,0
proyecto_1,com.bettercodesaul.repositorio,RepositorioOferta,83,0,6,0,25,0,12,0,9,0
proyecto_1,com.bettercodesaul.repositorio,RepositorioUsuario,113,0,6,0,19,0,10,0,7,0
proyecto_1,com.bettercodesaul.modelos,Oferta,82,0,0,0,18,0,13,0,13,0
proyecto_1,com.bettercodesaul.modelos,Producto,83,0,0,0,14,0,13,0,13,0
proyecto_1,com.bettercodesaul.modelos,Usuario,162,0,2,0,27,0,24,0,23,0
proyecto_1,com.bettercodesaul.servicio,ServicioClienteImpl,55,0,2,0,12,0,6,0,5,0
proyecto_1,com.bettercodesaul.servicio,ServicioRemotoImpl,179,0,24,0,45,0,18,0,6,0
